Tweets,len,ID,Date,Likes,RTs,Quoted,Q_or_RT,User_ent_text,retweeted_tweet,user_mentions,profile_location,in_reply_to_screen_name,created_at_string,tweet_type,all_text
"NFL_Cowboys247 Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »… https://t.co/TG4xK3cRda…",139,907099679673995265,2017-09-11 04:33:11,1,0,,,"NFL_Cowboys247 Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »… https://t.co/TG4xK3cRda…",,[],,,2017-33-11T04:33:11.000Z,tweet,"NFL_Cowboys247 Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »… https://t.co/TG4xK3cRda…"
"There were a lot of options to be made here, but no one's arguing with who was chosen. https://t.co/XqF6bWKTMi $$ Whats a Sophomore slump ?",139,907099545657634816,2017-09-11 04:32:39,0,0,,,"There were a lot of options to be made here, but no one's arguing with who was chosen. https://t.co/XqF6bWKTMi $$ Whats a Sophomore slump ?",,[],"{'country': 'United States', 'country_code': 'US', 'region': 'Texas', 'full_name': 'Texas, United States', 'geo': {'coordinates': [-99.25061, 31.25044], 'type': 'point'}}",,2017-32-11T04:32:39.000Z,tweet,"There were a lot of options to be made here, but no one's arguing with who was chosen. https://t.co/XqF6bWKTMi $$ Whats a Sophomore slump ?"
https://t.co/gQX6Y4YJNP,23,907099522991398913,2017-09-11 04:32:34,0,0,,,https://t.co/gQX6Y4YJNP,,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Colorado Springs', 'region': 'Colorado', 'sub_region': 'El Paso County', 'full_name': 'Colorado Springs, Colorado, United States', 'geo': {'coordinates': [-104.82136, 38.83388], 'type': 'point'}}",,2017-32-11T04:32:34.000Z,tweet,https://t.co/gQX6Y4YJNP
"Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »… https://t.co/FRBzWj2S0K",123,907099170997235712,2017-09-11 04:31:10,29,8,,,"Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »

https://t.co/WtMhvZk71a https://t.co/rXCGFLJgyp",,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Dallas', 'region': 'Texas', 'sub_region': 'Dallas County', 'full_name': 'Dallas, Texas, United States', 'geo': {'coordinates': [-96.80667, 32.78306], 'type': 'point'}}",,2017-31-11T04:31:10.000Z,tweet,"Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »

https://t.co/WtMhvZk71a https://t.co/rXCGFLJgyp"
"Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »… https://t.co/zjj4694fhb",123,907099170938527745,2017-09-11 04:31:10,60,13,,,"Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »

https://t.co/WU9ZcUVDNC https://t.co/DR1dzyS8Fj",,[],,,2017-31-11T04:31:10.000Z,tweet,"Own the Night: SNF gives game ball to #Cowboys stars Jason Witten, Jaylon Smith and Dak Prescott »

https://t.co/WU9ZcUVDNC https://t.co/DR1dzyS8Fj"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/MEnP0wBVWr https://t.co/esixDbhwTC",135,907099035751903232,2017-09-11 04:30:37,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/MEnP0wBVWr https://t.co/esixDbhwTC",,[],,,2017-30-11T04:30:37.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/MEnP0wBVWr https://t.co/esixDbhwTC"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/DpWxjsyhAj https://t.co/8ogig9P8lW",135,907098987349626880,2017-09-11 04:30:26,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/DpWxjsyhAj https://t.co/8ogig9P8lW",,[],,,2017-30-11T04:30:26.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/DpWxjsyhAj https://t.co/8ogig9P8lW"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/lSo64aTeIt… https://t.co/FtRmOnyYud",136,907098909696069632,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/lSo64aTeIt https://t.co/otvjDzaJhG https://t.co/o6tAdrBAfk",,[],,,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/lSo64aTeIt https://t.co/otvjDzaJhG https://t.co/o6tAdrBAfk"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/ez3DFXzHdq… https://t.co/uL9ew7xpJW",136,907098909658324992,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/ez3DFXzHdq https://t.co/H8XZYqXPA3 https://t.co/Nze7GeHwa3",,[],,,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/ez3DFXzHdq https://t.co/H8XZYqXPA3 https://t.co/Nze7GeHwa3"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/osIrRJ0zvJ… https://t.co/gryJcCrU8m",136,907098909389889537,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/osIrRJ0zvJ https://t.co/lZJDudbP4c https://t.co/AogOLfVDaw",,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'San Francisco', 'region': 'California', 'sub_region': 'San Francisco County', 'full_name': 'San Francisco, California, United States', 'geo': {'coordinates': [-122.41942, 37.77493], 'type': 'point'}}",,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/osIrRJ0zvJ https://t.co/lZJDudbP4c https://t.co/AogOLfVDaw"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/FYhgWA5e5q… https://t.co/UMAEK23USF",136,907098908752437249,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/FYhgWA5e5q https://t.co/dLmJpSWLgi https://t.co/xMxpHdI5Cr",,[],"{'country': 'United States', 'country_code': 'US', 'full_name': 'United States', 'geo': {'coordinates': [-98.5, 39.76], 'type': 'point'}}",,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/FYhgWA5e5q https://t.co/dLmJpSWLgi https://t.co/xMxpHdI5Cr"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/yKcrFyl04M… https://t.co/JFTqlBJLmE",136,907098908723109888,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/yKcrFyl04M https://t.co/uT1HeTiShA https://t.co/li60JRpuTK",,[],"{'country': 'United States', 'country_code': 'US', 'locality': 'Atlanta', 'region': 'Georgia', 'sub_region': 'Fulton County', 'full_name': 'Atlanta, Georgia, United States', 'geo': {'coordinates': [-84.38798, 33.749], 'type': 'point'}}",,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/yKcrFyl04M https://t.co/uT1HeTiShA https://t.co/li60JRpuTK"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/tnCkRGj08J… https://t.co/bludsnrccY",136,907098908689555456,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/tnCkRGj08J https://t.co/oZifATnzKp https://t.co/DlNACWIY9c",,[],"{'country': 'United States', 'country_code': 'US', 'full_name': 'United States', 'geo': {'coordinates': [-98.5, 39.76], 'type': 'point'}}",,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York - https://t.co/tnCkRGj08J https://t.co/oZifATnzKp https://t.co/DlNACWIY9c"
"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York -… https://t.co/5M8QeODd7Z… https://t.co/WkVvhaIkSa",137,907098907452174337,2017-09-11 04:30:07,0,0,,,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York -… https://t.co/5M8QeODd7Z #latest #news https://t.co/VelPBVwGIw",,[],,,2017-30-11T04:30:07.000Z,tweet,"Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D dominate New York -… https://t.co/5M8QeODd7Z #latest #news https://t.co/VelPBVwGIw"
"followme - Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D… https://t.co/NnX3QwauYL #TopStories… https://t.co/9VZLo7RXLC",140,907098901349466112,2017-09-11 04:30:05,0,0,,,"followme - Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D… https://t.co/NnX3QwauYL #TopStories - followforfollow https://t.co/gqRPj4rT8k",,[],"{'country': 'United States', 'country_code': 'US', 'full_name': 'United States', 'geo': {'coordinates': [-98.5, 39.76], 'type': 'point'}}",,2017-30-11T04:30:05.000Z,tweet,"followme - Giants vs. Cowboys score, highlights, stats: Dak Prescott, Dallas D… https://t.co/NnX3QwauYL #TopStories - followforfollow https://t.co/gqRPj4rT8k"
